logradouro,numero,bairro,cep,cidade,tipo_imovel,area_util,banheiros,suites,quartos,vagas_garagem,anuncio_criado,tipo_anuncio,preco_venda,taxa_condominio,periodicidade,preco_aluguel,iptu_ano
Rua Batataes,159,Jardim Paulista,01423010,São Paulo,Flat,36,1,NA,1,1,2018-11-12,Locação,3024,770,MONTHLY,3793,70
Rua Batataes,159,Jardim Paulista,01423010,São Paulo,Flat,65,2,1,2,1,2018-04-26,Locação,2388,1435,MONTHLY,3823,21
Rua Iquiririm,271,Vila Indiana,05586000,São Paulo,Casa,100,1,0,1,1,2019-02-05,Locação,1400,0,MONTHLY,1400,116
Praça José Vicente Nóbrega,44,Cambuci,01541040,São Paulo,Condomínio,115,4,1,3,3,2017-04-21,Venda,392000,35,NA,NA,70
Rua Olga Fadel Abarca,430,Jardim Santa Terezinha (Zona Leste),03572020,São Paulo,Apartamento,45,1,0,2,1,2018-08-10,Venda,175000,182,NA,NA,NA
Avenida Paes de Barros,2659,Mooca,03115001,São Paulo,Comercial,42,1,0,0,0,2018-01-15,Locação,560,518,MONTHLY,1078,0
Rua Nicola Puchetti,60,Chácara Mafalda,03373110,São Paulo,Casa de dois andares,108,3,1,3,3,2018-08-09,Venda,419300,NA,NA,NA,1050
Rua Francisco Soledade,91,Parque da Mooca,03125070,São Paulo,Apartamento,168,0,3,4,2,2017-04-13,Locação,2800,1512,MONTHLY,4312,489
Rua Caconde,522,Jardim Paulista,01425011,São Paulo,Apartamento,210,4,2,3,2,2018-09-11,Venda,1540000,1330,NA,NA,454
Rua Guarará,298,Jardim Paulista,01425001,São Paulo,Apartamento,280,3,2,4,3,2018-03-19,Venda,2078999,2380,NA,NA,700
Rua Guarará,NA,Jardim Paulista,01425001,São Paulo,Apartamento,291,4,2,4,2,2018-10-19,Venda,2520000,2324,NA,NA,294
Avenida Brigadeiro Luís Antônio,3030,Jardim Paulista,01401000,São Paulo,Flat,42,1,0,1,1,2017-09-14,Locação,1120,840,MONTHLY,1959,140
Rua Doutor Cícero de Alencar,NA,Vila Pirajussara,05580080,São Paulo,Escritório,149,3,0,2,8,2018-01-29,Locação,7000,NA,MONTHLY,7000,220
Rua Pedro Vítor Massote,113,Parque dos Príncipes,05396420,São Paulo,Casa de dois andares,300,3,2,4,5,2019-02-02,Venda,840000,319,NA,NA,0
Avenida Bernardino de Campos,NA,Paraíso,04004041,São Paulo,Escritório,572,0,0,0,5,2018-07-31,Locação,26600,0,MONTHLY,26600,0
Rua Rodrigo Cláudio,477,Aclimação,01532020,São Paulo,Apartamento,170,4,3,3,3,2018-11-19,Venda,875000,2072,NA,NA,532
Rua Iquiririm,338,Vila Indiana,05586000,São Paulo,Apartamento,28,1,0,1,0,2019-02-22,Locação,1050,210,MONTHLY,1260,0
Praça José Vicente Nóbrega,NA,Cambuci,01541040,São Paulo,Casa de dois andares,600,4,1,4,4,2018-04-13,Venda,2078999,0,NA,NA,1959
Travessa Buenópolis,NA,Vila Monumento,01553040,São Paulo,Casa de dois andares,142,2,0,3,2,2018-09-07,Venda,468999,0,NA,NA,937
Rua Guarará,NA,Jardim Paulista,01425000,São Paulo,Apartamento,184,4,1,3,1,2018-09-22,Locação,3150,1351,MONTHLY,4501,385
Rua Coronel Joviniano Brandão,173,Mooca,03127175,São Paulo,Apartamento,74,2,1,2,1,2017-05-30,Venda,315000,371,NA,NA,0
Rua Octávio de Moraes Lopes,01,Jardim Sarah,05382070,São Paulo,Condomínio,100,2,0,2,2,2018-07-06,Venda,251999,364,NA,NA,350
Rua Batataes,159,Jardim Paulista,01423010,São Paulo,Flat,55,2,1,2,1,2018-10-16,Locação,2849,1127,MONTHLY,3976,83
Rua Joaquim Jorge Ribeiro,NA,Jardim Cotching,03463100,São Paulo,Casa de dois andares,80,3,2,3,0,2018-11-12,Venda,287000,0,NA,NA,0
Rua Alto Belo,867,Vila Antonieta,03478040,São Paulo,Depósito,1300,0,0,0,0,2018-12-10,Locação,14000,0,MONTHLY,14000,0
Avenida Montemagno,2995,Vila Formosa,03371000,São Paulo,Apartamento,87,3,1,3,2,2019-02-09,Venda,350000,581,NA,NA,106
Avenida Doutor Vital Brasil,305,Butantã,05503000,São Paulo,Comercial,37,0,0,0,1,2019-01-24,Locação,1330,242,MONTHLY,1572,118
Rua Iquiririm,NA,Vila Indiana,05586001,São Paulo,Apartamento,28,1,0,1,0,2019-01-10,Locação,1470,210,MONTHLY,1680,NA
Rua Acalanto de Bartira,100,Vila Nova Alba,05358160,São Paulo,Casa,420,2,0,3,5,2017-06-29,Venda,350000,NA,NA,NA,NA
Rua Manduri,139,Jardim Paulistano,01457020,São Paulo,Casa de dois andares,300,4,2,5,2,2018-09-11,Venda,2660000,0,NA,NA,854
Rua Benedito Chaves,229,Pinheiros,01445030,São Paulo,Casa,433,4,2,5,8,2017-10-19,Venda,4129999,0,NA,NA,2344
Avenida Eusébio Matoso,1375,Pinheiros,05423180,São Paulo,Comercial,775,0,0,0,21,2018-07-04,Locação,29837,13650,MONTHLY,43487,5028
Avenida Eusébio Matoso,1375,Pinheiros,05423905,São Paulo,Comercial,775,13,0,5,21,2018-09-26,Locação,29837,15780,MONTHLY,45617,5028
Rua Coronel Irlandino Sandoval,57,Jardim Paulistano,01457010,São Paulo,Casa,500,6,4,4,3,2019-02-13,Locação,10500,0,MONTHLY,10500,591
Alameda Joaquim Eugênio de Lima,1360,Jardim Paulista,01403001,São Paulo,Flat,48,1,0,1,1,2017-12-20,Locação,3500,NA,MONTHLY,3500,NA
Alameda Joaquim Eugênio de Lima,1360,Jardim Paulista,01403002,São Paulo,Flat,40,1,0,1,1,2018-07-26,Locação,1330,700,MONTHLY,2029,70
Avenida Brigadeiro Faria Lima,NA,Jardim Paulistano,01451001,São Paulo,Escritório,137,2,0,0,3,2019-02-16,Locação,14699,4536,MONTHLY,19236,2432
Avenida Brigadeiro Faria Lima,1663,Jardim Paulistano,01452001,São Paulo,Escritório,638,0,0,0,0,2018-10-23,Locação,42428,15185,MONTHLY,57613,4019
Rua Butantã,500,Pinheiros,05424000,São Paulo,Comercial,300,0,0,0,8,2018-11-08,Locação,14699,5743,MONTHLY,20443,172044
Rua Catequese,223,Butantã,05502020,São Paulo,Escritório,296,6,0,0,12,2018-11-21,Locação,12432,3108,MONTHLY,15539,1734
Avenida Eusébio Matoso,498,Pinheiros,05423000,São Paulo,Apartamento,110,2,NA,2,NA,2018-10-30,Venda,455000,171,NA,NA,NA
Alameda Joaquim Eugênio de Lima,1360,Jardim Paulista,01403002,São Paulo,Flat,75,1,0,2,2,2017-11-24,Locação,2548,707,MONTHLY,3255,244
Rua Batataes,263,Jardim Paulista,01423901,São Paulo,Apartamento,165,4,1,3,1,2019-01-23,Venda,1519000,1435,NA,NA,336
Alameda Joaquim Eugênio de Lima,1360,Jardim Paulista,01403002,São Paulo,Flat,47,1,1,1,1,2018-09-06,Locação,1679,700,MONTHLY,2379,70
Avenida Brigadeiro Faria Lima,NA,Jardim Paulistano,01451000,São Paulo,Comercial,246,0,0,0,7,2018-09-26,Locação,18942,4924,MONTHLY,23866,2703
Avenida Brigadeiro Faria Lima,NA,Jardim Paulistano,01451000,São Paulo,Comercial,81,0,0,0,0,2017-10-26,Locação,3849,1081,MONTHLY,4931,321
Avenida Eusébio Matoso,654,Pinheiros,05423000,São Paulo,Comercial,350,3,NA,8,4,2018-03-31,Locação,7000,NA,MONTHLY,7000,1550
Alameda Lorena,319,Cerq Cesar,01424001,São Paulo,Apartamento,150,1,1,3,1,2018-11-21,Venda,944999,979,NA,NA,244
Avenida Brigadeiro Faria Lima,NA,Jardim Paulistano,01452002,São Paulo,Loja,130,2,0,0,0,2018-11-19,Locação,2800,560,MONTHLY,3360,700
Rua Guarará,463,Jardim Paulista,01425001,São Paulo,Apartamento,45,1,NA,1,1,2019-02-10,Locação,2800,630,MONTHLY,3430,105
Rua Guarará,511,Jardim Paulista,01425001,São Paulo,Flat,28,1,1,1,0,2019-02-14,Locação,1389,979,MONTHLY,2369,80
Alameda Lorena,360,Jardim Paulista,01424000,São Paulo,Flat,30,1,0,1,1,2019-02-14,Venda,185500,0,NA,NA,0
Rua Guarará,511,Jardim Paulista,01425001,São Paulo,Flat,32,1,0,1,1,2018-09-18,Locação,1480,920,MONTHLY,2401,118
Avenida dos Latinos,1,Jardim Santa Terezinha (Zona Leste),03452200,São Paulo,Casa de dois andares,226,3,1,3,3,2017-08-31,Venda,409500,NA,NA,NA,0
Avenida Eusébio Matoso,NA,Pinheiros,05423180,Rua Camé,Escritório,775,4,0,0,21,2018-12-27,Locação,29837,13457,MONTHLY,43295,4818
Rua Guarará,551,Jardim Paulista,01425001,São Paulo,Apartamento,258,5,3,3,0,2018-10-02,Venda,3290000,3360,NA,NA,1330
Rua Guarará,511,Jardim Paulista,01425001,São Paulo,Flat,28,1,0,1,1,2018-08-24,Locação,1295,986,MONTHLY,2282,98
Rua Safira,NA,Aclimação,01532010,São Paulo,Casa de dois andares,213,4,3,4,2,2018-05-08,Venda,979999,0,NA,NA,470
Rua Ouro Branco,129,Jardim Paulista,01425080,São Paulo,Flat,42,1,NA,1,1,2018-06-21,Locação,1445,770,MONTHLY,2215,140
NA,NA,Vila Indiana,NA,São Paulo,Apartamento,110,3,1,3,2,2018-09-07,Venda,584500,NA,NA,NA,NA
Rua Guarará,511,Jardim Paulista,01425001,São Paulo,Flat,32,1,1,1,1,2017-05-07,Locação,1330,909,MONTHLY,2240,70
Avenida Brigadeiro Luís Antônio,3030,Jardim Paulista,01402002,São Paulo,Apartamento,42,1,0,1,1,2018-04-11,Venda,301000,965,NA,NA,109
Avenida Eusébio Matoso,762,Pinheiros,05423180,São Paulo,Apartamento,44,1,1,1,1,2019-01-29,Venda,361200,315,NA,NA,0
Rua Polônia,NA,Jardim Europa,01447000,São Paulo,Casa,430,4,3,3,4,2018-10-18,Venda,4900000,NA,NA,NA,1875
NA,NA,Vila Indiana,NA,São Paulo,Apartamento,145,5,2,4,3,2018-07-18,Venda,784000,NA,NA,NA,NA
Avenida Eusébio Matoso,654,Pinheiros,05423000,São Paulo,Comercial,260,4,NA,NA,4,2017-08-19,Locação,5950,NA,MONTHLY,5950,1540
Rua Desembargador Mamede,NA,Jardim Paulistano,01444030,São Paulo,Casa de dois andares,420,6,2,5,4,2017-05-19,Locação,10500,NA,MONTHLY,10500,1295
Rua Guarará,511,Jardins,01425001,São Paulo,Flat,28,1,1,1,0,2018-10-11,Venda,210000,979,NA,NA,140
Rua Guarará,511,Jardim Paulista,01425001,São Paulo,Flat,32,1,1,1,1,2017-04-30,Locação,1400,489,MONTHLY,1889,70
Rua José Maria Lisboa,155,Jardim Paulista,01423001,São Paulo,Apartamento,95,2,1,1,1,2018-10-10,Venda,693000,NA,NA,NA,NA
Avenida Brigadeiro Luís Antônio,3030,Jardim Paulista,01402000,São Paulo,Flat,42,1,1,1,1,2016-09-20,Locação,1540,630,MONTHLY,2170,70
Rua José Maria Lisboa,62,Jardim Paulista,01423000,São Paulo,Apartamento,131,1,0,2,0,2018-07-24,Venda,686000,602,NA,NA,99
Rua Capitão Pinto Ferreira,65,Jardim Paulista,01423020,São Paulo,Apartamento,135,2,1,3,1,2019-01-19,Venda,1176000,1050,NA,NA,2870
Rua Capitão Pinto Ferreira,95,Jardim Paulista,01423020,São Paulo,Apartamento,101,3,2,2,1,2019-01-23,Venda,833000,770,NA,NA,112
Avenida Brigadeiro Luís Antônio,3030,Jardim Paulista,01402001,São Paulo,Flat,50,1,1,1,1,2019-02-14,Locação,1424,710,MONTHLY,2135,105
Rua Alves de Almeida,NA,Chácara Belenzinho,03378010,São Paulo,Casa de dois andares,1,0,0,3,3,2017-04-13,Venda,329000,0,NA,NA,0
Rua Manuel da Nóbrega,533,Paraíso,04001080,São Paulo,Apartamento,157,3,1,3,1,2019-01-16,Locação,2240,927,MONTHLY,3167,230
Rua Manuel da Nóbrega,486,Paraíso,04002,São Paulo,Apartamento,100,1,NA,2,NA,2018-05-02,Venda,392000,364,NA,NA,0
Rua Capitão Pinto Ferreira,95,Jardim Paulista,01423020,São Paulo,Flat,90,2,2,2,0,2018-04-30,Locação,2240,770,MONTHLY,3010,130
Rua Capitão Pinto Ferreira,65,Jardim Paulista,01423020,São Paulo,Apartamento,114,3,1,3,1,2018-02-02,Venda,812000,944,NA,NA,196
Rua Florio,NA,Chácara Mafalda,03372050,São Paulo,Casa de dois andares,240,2,1,4,2,2017-08-14,Venda,560000,0,NA,NA,75
Avenida Brigadeiro Luís Antônio,3030,Jardim Paulista,01402000,São Paulo,Flat,42,1,0,1,1,2017-05-02,Locação,1099,909,MONTHLY,2008,91
Travessa Jerônimo Peraza,NA,Jardim Paulista,01402050,São Paulo,Apartamento,28,1,0,1,1,2018-11-18,Venda,293930,0,NA,NA,NA
Rua Caconde,546,Jardim Paulista,01425011,São Paulo,Apartamento,183,2,1,3,2,2018-04-23,Locação,6510,1493,MONTHLY,8003,641
Rua Semy Jacob José Saúda,NA,Parque dos Príncipes,05396311,São Paulo,Casa,483,1,4,4,4,2015-11-10,Venda,979999,NA,NA,NA,630
Rua Paulo Orozimbo,NA,Cambuci,01535000,São Paulo,Casa de dois andares,103,3,2,2,1,2018-12-13,Venda,623000,0,NA,NA,0
Rua Cristianópolis,39,Vila Prudente,03128030,São Paulo,Casa de dois andares,230,1,3,3,0,2018-03-06,Venda,756000,0,NA,NA,0
Rua Maria Luísa de Pinho,244,Parque da Mooca,03124090,São Paulo,Casa de dois andares,700,9,2,6,8,2018-10-11,Locação,5320,0,MONTHLY,5320,1190
NA,NA,Jardim Santa Terezinha (Zona Leste),NA,São Paulo,Apartamento,55,1,0,3,1,2017-04-14,Venda,185500,NA,NA,NA,NA
Rua Felício Pereira,40,Jardim Piqueroby,03463050,São Paulo,Casa de dois andares,286,4,1,3,3,2018-03-17,Venda,525000,0,NA,NA,176
Rua Semy Jacob José Saúda,1,Parque dos Príncipes,05396311,São Paulo,Casa de dois andares,582,7,4,4,10,2014-07-18,Venda,1680000,NA,NA,NA,NA
Rua Paulo Orozimbo,NA,Cambuci,01535001,São Paulo,Comercial,NA,2,0,1,1,2018-08-29,Locação,700,529,MONTHLY,1229,143
Rua Apeninos,429,Aclimação,04104020,São Paulo,Escritório,88,2,0,0,2,2018-06-22,Venda,676900,0,NA,NA,0
Rua Maria Figueiredo,407,Paraíso,04002002,São Paulo,Apartamento,135,3,1,3,1,2018-04-21,Locação,3430,805,MONTHLY,4235,140
Rua Alto Belo,772,Vila Antonieta,03478040,São Paulo,Casa,110,3,1,3,3,2015-05-24,Venda,350000,105,NA,NA,56
Rua Mário Amaral,100,Paraíso,04002020,São Paulo,Apartamento,193,4,4,4,4,2018-05-18,Venda,2240000,1745,NA,NA,73334
Rua Mário Amaral,81,Paraíso,04002020,São Paulo,Apartamento,193,1,4,4,4,2019-01-28,Venda,1994999,1744,NA,NA,732
Rua Farol Paulistano,NA,Vila Oratório,03192060,São Paulo,Casa,150,4,0,3,4,2018-09-15,Venda,595000,0,NA,NA,105
Alameda Santos,122,Vila Mariana,00000000,São Paulo,Comercial,106,1,NA,NA,3,2016-06-30,Venda,1559600,0,NA,NA,0
Avenida Brigadeiro Luís Antônio,3030,Jardim Paulista,01402001,São Paulo,Flat,45,1,1,1,1,2019-01-18,Locação,1225,1050,MONTHLY,2275,175
Avenida Brigadeiro Luís Antônio,3030,Jardim Paulista,01402000,São Paulo,Flat,42,1,0,1,1,2017-11-24,Locação,1641,721,MONTHLY,2362,87
Rua Rodrigo Cláudio,NA,Aclimação,01532020,São Paulo,Apartamento,190,2,1,4,3,2014-06-26,Venda,944999,1540,NA,NA,251
NA,NA,Aclimação,NA,São Paulo,Casa de dois andares,250,3,3,3,4,2017-06-02,Venda,1820000,NA,NA,NA,NA
NA,NA,Aclimação,NA,São Paulo,Depósito,710,0,0,0,0,2018-01-15,Locação,14000,0,MONTHLY,14000,0
Rua Coronel Oscar Porto,203,Paraíso,04003000,São Paulo,Apartamento,149,5,3,3,3,2018-05-18,Venda,1750000,1050,NA,NA,475
Avenida Montemagno,2141,Vila Formosa,03371000,São Paulo,Depósito,770,6,0,0,24,2018-06-28,Locação,8400,0,MONTHLY,8400,459
Rua Nossa Senhora dos Anjos,220,Chácara Mafalda,03370055,São Paulo,Casa de dois andares,200,4,1,4,9,2015-11-01,Venda,489999,0,NA,NA,0
Avenida Dom Pedro I,773,Vila Monumento,01552000,São Paulo,Apartamento,81,2,0,3,2,2018-02-05,Venda,495295,0,NA,NA,0
Rua Vergueiro,1009,Liberdade,04101904,São Paulo,Kitnet,31,1,0,1,0,2018-05-02,Venda,273287,244,NA,NA,0
NA,NA,Aclimação,NA,São Paulo,Casa de dois andares,165,1,1,3,2,2015-10-01,Venda,700000,NA,NA,NA,NA
Rua Lavínia Ribeiro,1,Vila Diva,03351110,São Paulo,Apartamento,105,2,1,3,2,2018-03-29,Venda,350000,700,NA,NA,0
Alameda Santos,85,Jardins,01419000,São Paulo,Flat,30,1,1,1,1,2018-07-04,Venda,234499,0,NA,NA,0
Rua Mário Amaral,81,Paraíso,04002020,São Paulo,Apartamento,193,5,4,4,4,2019-02-22,Venda,1994999,1745,NA,NA,733
Rua Padre Corrado Stefani,101,Alto da Mooca,03128150,São Paulo,Casa de dois andares,225,5,1,3,4,2019-02-21,Venda,840000,0,NA,NA,0
Rua do Oratório,2880,Mooca,03116000,São Paulo,Casa de dois andares,142,3,0,3,5,2018-07-21,Locação,2730,0,MONTHLY,2730,142
Rua Maria Figueiredo,369,Paraíso,04002002,São Paulo,Apartamento,240,5,2,4,3,2017-08-11,Locação,5530,1819,MONTHLY,7349,770
Rua Vitor Prestes,96,Jardim Record,03462030,São Paulo,Casa de dois andares,96,3,1,3,2,2019-01-18,Venda,286930,NA,NA,NA,NA
Rua Carlito,706,Chácara Belenzinho,03378000,São Paulo,Casa de dois andares,170,4,1,3,2,2018-10-10,Venda,420000,0,NA,NA,0
Rua Otávio Nébias,98,Paraíso,04002011,São Paulo,Apartamento,210,2,2,4,4,2016-11-02,Venda,2029999,2100,NA,NA,988
NA,NA,Aclimação,NA,São Paulo,Casa de dois andares,220,3,NA,4,5,2015-10-01,Venda,965999,NA,NA,NA,331
NA,NA,Aclimação,NA,São Paulo,Apartamento,50,1,NA,2,NA,2016-05-25,Venda,210000,308,NA,NA,NA
Rua Teixeira da Silva,610,Paraíso,40030028,São Paulo,Apartamento,360,4,2,4,3,2018-09-12,Venda,2926000,1819,NA,NA,0
NA,NA,Parque da Mooca,NA,São Paulo,Depósito,1300,0,0,0,0,2019-02-20,Locação,13300,NA,MONTHLY,13300,1260
Rua Engenheiro Prudente,35,Vila Monumento,01550000,São Paulo,Apartamento,63,2,1,2,2,2018-10-21,Venda,364823,0,NA,NA,NA
Rua Mário Amaral,81,Paraíso,04002020,São Paulo,Apartamento,193,5,4,4,4,2019-02-22,Venda,1994999,1745,NA,NA,733
Avenida João XXIII,253,Vila Formosa,03361000,São Paulo,Comercial,300,4,0,0,0,2018-10-22,Locação,3500,NA,MONTHLY,3500,350
Rua Teixeira da Silva,407,São Paulo,04002031,São Paulo,Apartamento,660,5,2,4,5,2018-09-15,Venda,5250000,3290,NA,NA,3486
Rua Cristianópolis,266,Água Rasa,03128030,São Paulo,Casa de dois andares,206,3,1,3,4,2015-06-22,Venda,658000,0,NA,NA,95
NA,NA,Aclimação,NA,São Paulo,Apartamento,73,1,1,3,2,2018-08-17,Venda,392700,385,NA,NA,84
NA,NA,Aclimação,NA,São Paulo,Apartamento,80,1,NA,3,2,2017-10-01,Venda,452200,651,NA,NA,94
Rua Júpiter,NA,Aclimação,01532030,São Paulo,Apartamento,200,5,3,3,3,2018-09-08,Venda,1365000,2029,NA,NA,581
Rua Antônio Tavares,483,Cambuci,01542010,São Paulo,Comercial,60,1,0,2,0,2017-05-26,Locação,2100,NA,MONTHLY,2100,59
Rua Apeninos,NA,Paraíso,04104020,São Paulo,Comercial,NA,1,0,0,NA,2017-09-19,Venda,4550000,0,NA,NA,0
Rua Doutor Rafael de Barros,210,Paraíso,04003042,São Paulo,Escritório,221,4,0,0,8,2018-12-11,Locação,16800,3374,MONTHLY,20174,18977
Rua Doutor Rafael de Barros,252,Paraíso,04003042,São Paulo,Apartamento,57,1,0,1,0,2018-12-15,Venda,336000,560,NA,NA,0
Rua Otávio Nébias,98,Paraíso,04002010,São Paulo,Apartamento,200,1,2,4,4,2017-12-11,Venda,1959999,1819,NA,NA,0
Rua Juventus,NA,Parque da Mooca,03124020,São Paulo,Apartamento,480,6,4,4,6,2018-11-20,Venda,1907499,2100,NA,NA,1400
Rua Antônio Tavares,350,Cambuci,01542010,São Paulo,Casa de dois andares,97,3,1,3,1,2018-09-03,Venda,560000,35,NA,NA,28
Rua Ouvidor Portugal,NA,Vila Monumento,01551000,São Paulo,Apartamento,70,2,1,3,1,2017-04-13,Venda,357000,770,NA,NA,51
Rua Apeninos,NA,Paraíso,04104020,São Paulo,Escritório,54,2,0,0,1,2017-07-26,Locação,1750,437,MONTHLY,2187,251
NA,NA,Jardim America,NA,São Paulo,Apartamento,151,1,1,3,1,2019-01-09,Venda,1085000,1190,NA,NA,NA
Avenida Nossa Senhora da Assunção,647,Vila Butantã,05359001,São Paulo,Apartamento,58,1,1,3,1,2018-11-28,Venda,258999,266,NA,NA,NA
Rua Diogo Moreira,247,Pinheiros,05423010,São Paulo,Flat,40,1,1,1,1,2018-08-09,Locação,1260,700,DAILY,1959,140
Rua Diogo Moreira,247,Pinheiros,05423010,São Paulo,Flat,29,1,1,1,1,2017-05-13,Locação,763,1379,MONTHLY,2142,168
Avenida Escragnolle Dória,NA,Jardim Vila Formosa,03470000,São Paulo,Apartamento,65,1,0,3,1,2015-03-13,Venda,237999,175,NA,NA,NA
Rua Butantã,336,Pinheiros,05424140,São Paulo,Escritório,494,4,0,0,12,2018-06-29,Locação,30099,6570,MONTHLY,36670,2351
Rua Diogo Moreira,247,Pinheiros,05423010,São Paulo,Flat,29,1,1,1,1,2019-02-14,Venda,290500,0,NA,NA,0
Rua Diogo Moreira,247,Pinheiros,05423010,São Paulo,Flat,28,1,0,1,1,2019-02-13,Venda,210000,840,NA,NA,147
Avenida Nove de Julho,NA,Jardim Paulista,01406000,São Paulo,Apartamento,239,3,1,5,2,2018-11-06,Venda,1260000,1400,NA,NA,3500
Rua Abadia dos Dourados,182,Vila Indiana,05586030,São Paulo,Apartamento,70,2,1,3,2,2018-09-18,Venda,315000,630,NA,NA,56
Rua Diogo Moreira,247,Pinheiros,05423010,São Paulo,Flat,35,1,0,1,1,2019-01-08,Locação,2450,0,MONTHLY,2450,0
Rua Diogo Moreira,247,Itaim Bibi,05423010,São Paulo,Flat,29,1,1,1,1,2018-10-24,Locação,995,1345,MONTHLY,2340,109
Rua Diogo Moreira,247,Pinheiros,05423010,São Paulo,Flat,29,1,0,1,1,2019-02-14,Locação,1120,1120,MONTHLY,2240,70
Avenida Brasil,NA,Jardim América,01430000,São Paulo,Casa,730,4,0,20,4,2018-01-11,Locação,28000,NA,MONTHLY,28000,2806
Avenida Brasil,1286,Jardim América,01430000,São Paulo,Comercial,560,0,0,0,40,2018-02-28,Locação,56000,0,MONTHLY,56000,4200
Avenida Nove de Julho,NA,Jardim Paulista,01407200,São Paulo,Apartamento,170,5,1,3,2,2018-12-26,Venda,1190000,1435,NA,NA,244
NA,NA,Jardim America,NA,São Paulo,Apartamento,230,5,3,4,2,2018-08-11,Locação,8400,1540,MONTHLY,9940,427
NA,NA,Jardim America,NA,São Paulo,Apartamento,287,4,3,4,3,2019-02-21,Venda,3849999,4389,NA,NA,81232
Rua Pedro Espanhol,149,Parque Savoy City,03585155,São Paulo,Casa de dois andares,80,1,0,2,2,2019-01-22,Venda,210000,0,NA,NA,0
Rua Batataes,483,Jardim Paulista,01423010,São Paulo,Apartamento,161,4,1,3,1,2019-01-31,Venda,1323000,1557,NA,NA,302
Alameda Campinas,1232,Jardim Paulista,01404200,São Paulo,Apartamento,375,6,4,4,5,2018-06-21,Locação,7000,5040,MONTHLY,12040,2240
Alameda Lorena,473,Jardim Paulista,01424000,São Paulo,Flat,28,1,1,1,1,2018-08-17,Locação,1132,1007,MONTHLY,2139,170
Alameda Lorena,473,Jardim Paulista,01424002,São Paulo,Flat,32,1,0,1,1,2019-01-28,Locação,2100,700,MONTHLY,2800,140
Alameda Campinas,1232,Jardim Paulista,01404002,São Paulo,Apartamento,410,6,4,4,5,2018-03-17,Venda,4900000,5057,NA,NA,2251
Alameda Lorena,473,Jardim Paulista,01424000,São Paulo,Flat,30,1,1,1,1,2017-07-28,Locação,1330,840,MONTHLY,2170,140
Rua Pamplona,1551,Jardim Paulista,01405003,São Paulo,Escritório,63,1,0,1,1,2018-06-16,Venda,455000,0,NA,NA,0
Alameda Lorena,521,Jardim Paulista,01424002,São Paulo,Flat,33,1,0,1,1,2017-11-28,Locação,2310,0,MONTHLY,2310,0
Rua Batataes,NA,Jardim Paulista,01423010,São Paulo,Apartamento,306,3,3,3,3,2018-09-07,Venda,2077599,3500,NA,NA,1227
Alameda Lorena,473,Jardim Paulista,01424000,São Paulo,Flat,35,1,0,1,1,2017-12-15,Locação,1120,840,MONTHLY,1959,140
Avenida Nove de Julho,NA,Jardim Paulista,01406200,São Paulo,Apartamento,250,2,1,3,NA,2018-05-04,Venda,1854999,1819,NA,NA,489
Avenida Nove de Julho,NA,Jardim Paulista,01406200,São Paulo,Apartamento,150,4,1,3,1,2019-02-13,Venda,1120000,2240,NA,NA,306
Rua Presidente Prudente,38,Jardim Paulista,01408030,São Paulo,Apartamento,90,3,0,2,1,2017-10-27,Venda,623000,759,NA,NA,152
Avenida Nove de Julho,NA,Jardim Paulista,01407000,São Paulo,Apartamento,72,1,2,2,1,2018-06-26,Venda,630000,562,NA,NA,5263
Alameda Lorena,521,Jardim Paulista,01424000,São Paulo,Flat,33,1,1,1,1,2018-09-14,Locação,1309,909,MONTHLY,2219,91
Alameda Lorena,521,Jardim Paulista,01424000,São Paulo,Flat,35,1,NA,1,1,2018-06-21,Locação,2086,770,MONTHLY,2856,70
Rua Batataes,NA,Jardim Paulista,01423010,São Paulo,Flat,60,2,1,2,2,2017-07-07,Locação,2139,1201,MONTHLY,3341,158
Rua José Maria Lisboa,207,Jardim Paulista,01423000,São Paulo,Apartamento,260,3,2,4,3,2018-12-11,Venda,2383500,2870,NA,NA,1260
Rua Forte do Calvário,NA,Jardim Vila Formosa,03470005,São Paulo,Casa de dois andares,200,3,1,3,2,2018-09-16,Venda,455000,0,NA,NA,76
Alameda Joaquim Eugênio de Lima,NA,Jardim Paulista,01403001,São Paulo,Apartamento,190,2,1,3,2,2019-02-16,Venda,1820000,1540,NA,NA,552
Rua Saint Hilaire,0,Jardim Paulista,01423040,São Paulo,Prédio Residencial,28,1,0,1,1,2019-02-01,Venda,301000,392,NA,NA,0
Rua José Maria Lisboa,330,Jardim Paulista,00000000,São Paulo,Apartamento,133,5,3,3,2,2018-08-18,Venda,2147427,0,NA,NA,0
Rua Jorge Ogushi,1041,Jardim Vila Formosa,03471000,São Paulo,Casa de dois andares,125,1,0,3,2,2018-08-15,Venda,329000,NA,NA,NA,NA
Rua José Maria Lisboa,202,Jardim Paulista,01423000,São Paulo,Flat,30,1,1,1,1,2017-11-28,Venda,175000,1120,NA,NA,94
Alameda Joaquim Eugênio de Lima,1118,Jardim Paulista,01403001,São Paulo,Flat,190,2,1,3,1,2018-03-09,Locação,5250,1431,MONTHLY,6681,536
Rua José Maria Lisboa,330,Jardim Paulista,01423000,São Paulo,Apartamento,133,4,3,3,3,2018-12-19,Venda,1458800,770,NA,NA,140
